"_ano_pesquisa","situacao_de_trabalho","setor","numero_de_funcionarios","modelo_de_trabalho_atual","qtd_respondentes"
"2024","Estagiário","Setor de Energia","Acima de 3.000","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Setor Automotivo","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 51 a 100","Modelo 100% presencial","1"
"2024","Freelancer","Área da Saúde","de 6 a 10","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Seguros ou Previdência","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Servidor Público","Educação","de 1 a 5","Modelo 100% presencial","1"
"2024","Servidor Público","Área da Saúde","Acima de 3.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Seguros ou Previdência","de 11 a 50","Modelo 100% presencial","1"
"2024","Estagiário","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Filantropia/ONG's","de 6 a 10","Modelo 100% remoto","1"
"2024","Servidor Público","Setor Farmaceutico","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Finanças ou Bancos","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Filantropia/ONG's","Acima de 3.000","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Marketing","de 6 a 10","Modelo 100% remoto","1"
"2024","Freelancer","Filantropia/ONG's","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Seguros ou Previdência","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Desempregado e não estou buscando recolocação","Finanças ou Bancos","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Estagiário","Marketing","de 101 a 500","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Outra Opção","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Finanças ou Bancos","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 11 a 50","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 6 a 10","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Indústria","de 1 a 5","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Área da Saúde","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Setor Público","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Finanças ou Bancos","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Telecomunicação","de 11 a 50","Modelo 100% remoto","1"
"2024","Estagiário","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 101 a 500","Modelo 100% remoto","1"
"2024","Prefiro não informar","Educação","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Internet/Ecommerce","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Setor Alimentício","de 1 a 5","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Agronegócios","de 1 a 5","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Setor de Energia","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Marketing","de 1 a 5","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Finanças ou Bancos","de 6 a 10","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Varejo","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Setor de Energia","de 101 a 500","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Alimentício","de 11 a 50","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Marketing","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Freelancer","Área de Consultoria","de 6 a 10","Modelo 100% remoto","1"
"2024","Estagiário","Área de Consultoria","Acima de 3.000","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Varejo","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Automotivo","de 101 a 500","Modelo 100% presencial","1"
"2024","Freelancer","Outra Opção","de 11 a 50","Modelo 100% remoto","1"
"2024","Estagiário","Indústria","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Freelancer","Área da Saúde","de 1.001 a 3.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Área de Consultoria","de 6 a 10","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Finanças ou Bancos","de 6 a 10","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Área da Saúde","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Indústria","de 11 a 50","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Entretenimento ou Esportes","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Agronegócios","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Prefiro não informar","Educação","de 1 a 5","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Público","de 51 a 100","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 6 a 10","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Agronegócios","de 11 a 50","Modelo 100% presencial","1"
"2024","Servidor Público","Educação","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 6 a 10","Modelo 100% presencial","1"
"2024","Estagiário","Telecomunicação","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Agronegócios","de 101 a 500","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Telecomunicação","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Área de Consultoria","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Educação","de 1 a 5","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Agronegócios","de 51 a 100","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Entretenimento ou Esportes","de 6 a 10","Modelo 100% remoto","1"
"2024","Servidor Público","Educação","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Setor Imobiliário/ Construção Civil","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Setor Imobiliário/ Construção Civil","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Internet/Ecommerce","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Entretenimento ou Esportes","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 1 a 5","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Varejo","de 101 a 500","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Área de Consultoria","de 1.001 a 3.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Setor Alimentício","de 101 a 500","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Outra Opção","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Setor Imobiliário/ Construção Civil","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Indústria","Acima de 3.000","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Internet/Ecommerce","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Marketing","de 11 a 50","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 11 a 50","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Seguros ou Previdência","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Área de Consultoria","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Freelancer","Educação","de 101 a 500","Modelo 100% presencial","1"
"2024","Estagiário","Outra Opção","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Indústria","de 1 a 5","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Marketing","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Varejo","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Servidor Público","Educação","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Agronegócios","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Área da Saúde","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor de Energia","de 51 a 100","Modelo 100% presencial","1"
"2024","Estagiário","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor de Energia","Acima de 3.000","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Área de Consultoria","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Marketing","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Prefiro não informar","Marketing","de 101 a 500","Modelo 100% presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 6 a 10","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Indústria","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Indústria","de 101 a 500","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Filantropia/ONG's","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Alimentício","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Educação","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Indústria","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Outra Opção","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Telecomunicação","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Outra Opção","de 6 a 10","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Finanças ou Bancos","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Setor de Energia","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Internet/Ecommerce","de 11 a 50","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Automotivo","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Outra Opção","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Prefiro não informar","Outra Opção","de 101 a 500","Modelo 100% presencial","1"
"2024","Freelancer","Marketing","de 1 a 5","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Seguros ou Previdência","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Setor Alimentício","Acima de 3.000","Modelo 100% presencial","1"
"2024","Estagiário","Marketing","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Telecomunicação","de 51 a 100","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Agronegócios","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Varejo","de 51 a 100","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Internet/Ecommerce","de 51 a 100","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Indústria","de 1.001 a 3.000","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Telecomunicação","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Finanças ou Bancos","de 6 a 10","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Farmaceutico","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Área de Consultoria","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Entretenimento ou Esportes","de 101 a 500","Modelo 100% presencial","1"
"2024","Estagiário","Área de Consultoria","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Entretenimento ou Esportes","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Filantropia/ONG's","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Indústria","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Seguros ou Previdência","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Indústria","Acima de 3.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Área de Consultoria","de 11 a 50","Modelo 100% presencial","1"
"2024","Estagiário","Setor Alimentício","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Indústria","de 1 a 5","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Marketing","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Seguros ou Previdência","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Estagiário","Setor Público","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Setor Farmaceutico","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Servidor Público","Educação","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Freelancer","Setor de Energia","de 51 a 100","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Setor Público","de 11 a 50","Modelo 100% remoto","1"
"2024","Estagiário","Tecnologia/Fábrica de Software","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Internet/Ecommerce","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Setor Farmaceutico","Acima de 3.000","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Indústria","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Setor Automotivo","de 501 a 1.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Público","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Servidor Público","Área da Saúde","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 1 a 5","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Área de Consultoria","de 51 a 100","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor de Energia","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Entretenimento ou Esportes","Acima de 3.000","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Telecomunicação","Acima de 3.000","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Telecomunicação","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Marketing","de 6 a 10","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Marketing","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Finanças ou Bancos","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Agronegócios","de 11 a 50","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Agronegócios","de 101 a 500","Modelo 100% remoto","1"
"2024","Desempregado e não estou buscando recolocação","Finanças ou Bancos","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empregado (CLT)","Filantropia/ONG's","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Prefiro não informar","Área de Consultoria","de 6 a 10","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Setor Automotivo","de 51 a 100","Modelo 100% remoto","1"
"2024","Freelancer","Finanças ou Bancos","Acima de 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Área de Consultoria","de 1.001 a 3.000","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Setor Automotivo","Acima de 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 501 a 1.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Área da Saúde","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","Acima de 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Internet/Ecommerce","de 501 a 1.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Educação","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Filantropia/ONG's","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Servidor Público","Tecnologia/Fábrica de Software","de 101 a 500","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Entretenimento ou Esportes","de 11 a 50","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Internet/Ecommerce","de 1 a 5","Modelo 100% presencial","1"
"2024","Freelancer","Outra Opção","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 501 a 1.000","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Área de Consultoria","de 11 a 50","Modelo 100% remoto","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 11 a 50","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Seguros ou Previdência","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Telecomunicação","de 1.001 a 3.000","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Tecnologia/Fábrica de Software","de 1.001 a 3.000","Modelo 100% remoto","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor de Energia","de 51 a 100","Modelo 100% remoto","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Filantropia/ONG's","Acima de 3.000","Modelo 100% presencial","1"
"2024","Prefiro não informar","Finanças ou Bancos","de 1 a 5","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empreendedor ou Empregado (CNPJ)","Setor Imobiliário/ Construção Civil","de 101 a 500","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Tecnologia/Fábrica de Software","de 6 a 10","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Finanças ou Bancos","de 6 a 10","Modelo 100% presencial","1"
"2024","Vivo fora do Brasil e trabalho para empresa de fora do Brasil","Outra Opção","de 101 a 500","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Freelancer","Tecnologia/Fábrica de Software","de 51 a 100","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Freelancer","Outra Opção","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Servidor Público","Educação","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Setor de Energia","de 1 a 5","Modelo 100% remoto","1"
"2024","Desempregado e não estou buscando recolocação","Marketing","Acima de 3.000","Modelo 100% presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Entretenimento ou Esportes","de 1 a 5","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Freelancer","Outra Opção","de 1 a 5","Modelo 100% presencial","1"
"2024","Vivo no Brasil e trabalho remoto para empresa de fora do Brasil","Seguros ou Previdência","de 101 a 500","Modelo 100% remoto","1"
"2024","Estagiário","Outra Opção","de 51 a 100","Modelo 100% presencial","1"
"2024","Empregado (CLT)","Setor Automotivo","de 1.001 a 3.000","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Estagiário","Outra Opção","de 6 a 10","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empregado (CLT)","Setor Público","de 101 a 500","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Empregado (CLT)","Telecomunicação","de 1.001 a 3.000","Modelo híbrido flexível (o funcionário tem liberdade para escolher quando estar no escritório presencialmente)","1"
"2024","Estagiário","Setor de Energia","de 51 a 100","Modelo híbrido com dias fixos de trabalho presencial","1"
"2024","Empreendedor ou Empregado (CNPJ)","Varejo","de 101 a 500","Modelo 100% presencial","1"
